Time (ps),RMSD (nm)
2990.0,0.11562933
3000.0,0.21669096
3010.0,0.15307245
3020.0,0.21052247
3030.0,0.21033178
3040.0,0.21091136
3050.0,0.20208474
3060.0,0.18896052
3070.0,0.20571344
3080.0,0.20122159
3090.0,0.19389719
3100.0,0.17084964
3110.0,0.20946997
3120.0,0.105842344
3130.0,0.109759465
3140.0,0.1968623
3150.0,0.1614745
3160.0,0.108676285
3170.0,0.17091376
3180.0,0.18045247
3190.0,0.20464486
3200.0,0.17926267
3210.0,0.1266666
3220.0,0.12255098
3230.0,0.1670772
3240.0,0.21254969
3250.0,0.1454441
3260.0,0.19691937
3270.0,0.18686426
3280.0,0.19139203
3290.0,0.10864225
3300.0,0.21422313
3310.0,0.14251922
3320.0,0.121275134
3330.0,0.14194848
3340.0,0.12849037
3350.0,0.17581989
3360.0,0.117176585
3370.0,0.12980784
3380.0,0.11543927
3390.0,0.21040997
3400.0,0.11131329
3410.0,0.122615494
3420.0,0.19535121
3430.0,0.2191886
3440.0,0.17062826
3450.0,0.16537535
3460.0,0.18477543
3470.0,0.1381127
3480.0,0.18197672
3490.0,0.1788999
3500.0,0.20660657
3510.0,0.20800854
3520.0,0.20639831
3530.0,0.16920264
3540.0,0.110648476
3550.0,0.13398165
3560.0,0.1819298
3570.0,0.1980408
3580.0,0.16396564
3590.0,0.15040377
3600.0,0.1842063
3610.0,0.13710475
3620.0,0.12554644
3630.0,0.12216812
3640.0,0.1793877
3650.0,0.1621375
3660.0,0.17670734
3670.0,0.12408597
3680.0,0.2083271
3690.0,0.14150602
3700.0,0.18948628
3710.0,0.13908774
3720.0,0.20404372
3730.0,0.21325731
3740.0,0.109217085
3750.0,0.0968106
3760.0,0.113246545
3770.0,0.09977573
3780.0,0.18797824
3790.0,0.10178144
3800.0,0.10866965
3810.0,0.099980675
3820.0,0.09643988
3830.0,0.09832256
3840.0,0.1550587
3850.0,0.21230628
3860.0,0.15176015
3870.0,0.2028962
3880.0,0.1437596
3890.0,0.09264812
3900.0,0.13554439
3910.0,0.1911145
3920.0,0.1740608
3930.0,0.16505703
3940.0,0.19346917
3950.0,0.21177797
3960.0,0.17783825
3970.0,0.17504397
3980.0,0.2015586
3990.0,0.14260684
4000.0,0.09603576
4010.0,0.11004709
4020.0,0.1853344
4030.0,0.1814546
4040.0,0.16534075
4050.0,0.17308159
4060.0,0.14532506
4070.0,0.12986034
4080.0,0.11588894
4090.0,0.10726954
4100.0,0.10396585
4110.0,0.16915658
4120.0,0.17268348
4130.0,0.17434949
4140.0,0.09797086
4150.0,0.10050138
4160.0,0.12301455
4170.0,0.15866955
4180.0,0.16360007
4190.0,0.17844906
4200.0,0.18483384
4210.0,0.17702416
4220.0,0.17538078
4230.0,0.104553275
4240.0,0.17354596
4250.0,0.19567479
4260.0,0.20301104
4270.0,0.15599434
4280.0,0.20834374
4290.0,0.17205463
4300.0,0.20611998
4310.0,0.1896285
4320.0,0.17429051
4330.0,0.20145485
4340.0,0.1591916
4350.0,0.103411764
4360.0,0.11145864
4370.0,0.09665599
4380.0,0.09098498
4390.0,0.18860272
4400.0,0.20607992
4410.0,0.21205567
4420.0,0.20392604
4430.0,0.102082886
4440.0,0.12008494
4450.0,0.09717105
4460.0,0.10397726
4470.0,0.102084704
4480.0,0.12000472
4490.0,0.15038954
4500.0,0.2019202
4510.0,0.20154788
4520.0,0.20957567
4530.0,0.10919834
4540.0,0.14008358
4550.0,0.13807142
4560.0,0.16483507
4570.0,0.13026504
4580.0,0.20982723
4590.0,0.1755148
4600.0,0.21643102
4610.0,0.1706179
4620.0,0.12308468
4630.0,0.1275441
4640.0,0.09666994
4650.0,0.105275154
4660.0,0.09876679
4670.0,0.14778371
4680.0,0.11742742
4690.0,0.10785321
4700.0,0.20110342
4710.0,0.1248462
4720.0,0.20193274
4730.0,0.16833699
4740.0,0.19515452
4750.0,0.19470358
4760.0,0.14207722
4770.0,0.1862718
4780.0,0.11193738
4790.0,0.112575166
4800.0,0.119532794
4810.0,0.122569576
4820.0,0.111657545
4830.0,0.11960438
4840.0,0.18214574
4850.0,0.19658172
4860.0,0.14116731
4870.0,0.19452704
4880.0,0.1888646
4890.0,0.115939505
4900.0,0.21096066
4910.0,0.18742754
4920.0,0.21213956
4930.0,0.21198809
4940.0,0.1422052
4950.0,0.11118868
4960.0,0.21387964
4970.0,0.15180275
4980.0,0.109849066
