Ligand,Pred. dG (kcal/mol),Exp. dG (kcal/mol),Std. error of mean (kcal/mol),Estimated experimental error (kcal/mol)
ani_ejm_31,-13.2638,-9.54,0.1117,0.64
ani_ejm_42,-12.0967,-9.78,0.1301,0.64
ani_ejm_43,-12.6364,-8.26,0.1201,0.64
ani_ejm_44,-16.7159,-7.42,0.1263,0.64
ani_ejm_46,-13.1904,-11.31,0.1146,0.64
ani_ejm_48,-11.8176,-9,0.1199,0.64
ani_ejm_55,-9.103,-9.21,0.1031,0.64
ani_jmc_28,-13.3282,-10.98,0.1299,0.64
