#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
2400	4.799999999999693	-129791.45590211368	26463.614477626335	-103327.84142448734	294.73782882310843	498411.9554592178	0.8987791000250346
2500	4.999999999999671	-129844.95984598657	26552.330300858408	-103292.62954512815	295.7258990333884	498411.9554592178	0.8987791000250346
2600	5.199999999999649	-129511.18102956002	26321.892092878756	-103189.28893668126	293.1593993908232	498411.9554592178	0.8987791000250346
2700	5.399999999999627	-129613.22768074097	26596.659656120017	-103016.56802462095	296.2196160928619	498411.9554592178	0.8987791000250346
2800	5.599999999999605	-129442.56599137127	26617.26441554465	-102825.30157582663	296.44910107350853	498411.9554592178	0.8987791000250346
2900	5.799999999999583	-129178.16068624666	26421.720366277073	-102756.44031996958	294.27123423037074	498411.9554592178	0.8987791000250346
3000	5.999999999999561	-129398.63078609393	26779.34185727811	-102619.28892881582	298.25423443192074	498411.9554592178	0.8987791000250346
3100	6.199999999999539	-129054.26758235681	26640.881554877873	-102413.38602747895	296.71213635827553	498411.9554592178	0.8987791000250346
3200	6.399999999999517	-129324.91228414864	26832.346673803804	-102492.56561034483	298.8445742191467	498411.9554592178	0.8987791000250346
3300	6.599999999999495	-128922.72874330587	26751.28893370323	-102171.43980960264	297.94179571371046	498411.9554592178	0.8987791000250346
3400	6.799999999999473	-129220.33260810048	27064.90263385924	-102155.42997424123	301.4346602712452	498411.9554592178	0.8987791000250346
3500	6.999999999999451	-129030.79584111353	26676.607610925563	-102354.18823018797	297.1100343929832	498411.9554592178	0.8987791000250346
3600	7.199999999999429	-128842.61848740904	26421.901304990042	-102420.717182419	294.2732494306547	498411.9554592178	0.8987791000250346
3700	7.399999999999407	-129222.63399380814	26746.71671772459	-102475.91727608355	297.890872775289	498411.9554592178	0.8987791000250346
3800	7.599999999999385	-129218.23438785812	26738.456218445233	-102479.77816941288	297.79887167601925	498411.9554592178	0.8987791000250346
3900	7.799999999999363	-129205.36816971771	26704.26719007256	-102501.10097964514	297.4180922476969	498411.9554592178	0.8987791000250346
4000	7.999999999999341	-129150.84136084371	26677.153305987755	-102473.68805485596	297.11611205776956	498411.9554592178	0.8987791000250346
4100	8.199999999999408	-129102.29967024372	26804.18108785903	-102298.1185823847	298.53088072667566	498411.9554592178	0.8987791000250346
4200	8.399999999999475	-129253.85294301446	26738.06582855309	-102515.78711446136	297.7945237185888	498411.9554592178	0.8987791000250346
4300	8.599999999999541	-129193.93543392485	26785.9514537598	-102407.98398016505	298.3278486435417	498411.9554592178	0.8987791000250346
4400	8.799999999999608	-128914.88757987502	26718.162728746986	-102196.72485112803	297.57285345398225	498411.9554592178	0.8987791000250346
4500	8.999999999999675	-128972.8627793726	26737.466430016793	-102235.39634935581	297.78784793273434	498411.9554592178	0.8987791000250346
4600	9.199999999999742	-129082.18386781147	26698.367785241575	-102383.8160825699	297.352387777406	498411.9554592178	0.8987791000250346
4700	9.399999999999809	-129037.8387545807	26584.953492685057	-102452.88526189564	296.089238997262	498411.9554592178	0.8987791000250346
4800	9.599999999999875	-129209.61953207449	26745.407164010652	-102464.21236806383	297.87628765432225	498411.9554592178	0.8987791000250346
4900	9.799999999999942	-129000.34318963232	26644.50124095664	-102355.84194867568	296.75245051932035	498411.9554592178	0.8987791000250346
5000	10.000000000000009	-129042.48283564611	26862.31280981322	-102180.17002583288	299.1783212918717	498411.9554592178	0.8987791000250346
5100	10.200000000000076	-128962.25415676231	26998.34296190995	-101963.91119485236	300.6933536287192	498411.9554592178	0.8987791000250346
