#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
1800	3.599999999999825	-130356.88325606065	25590.4186165831	-104766.46463947756	285.0792198325309	498369.26911243435	0.8986527612503645
1900	3.799999999999803	-130571.23109532063	26128.254819960126	-104442.97627536052	291.07075625691175	498369.26911243435	0.8986527612503645
2000	3.999999999999781	-130327.89804729082	26137.916237332804	-104189.98180995802	291.17838518508	498369.26911243435	0.8986527612503645
2100	4.1999999999997595	-130083.4216001959	26107.46969851309	-103975.95190168281	290.8392084149236	498369.26911243435	0.8986527612503645
2200	4.3999999999997375	-129947.65888772109	26242.675393111138	-103704.98349460994	292.34541018951853	498369.26911243435	0.8986527612503645
2300	4.599999999999715	-129664.45867389288	26128.876782122417	-103535.58189177046	291.07768496295006	498369.26911243435	0.8986527612503645
2400	4.799999999999693	-129760.16311521217	26424.614536450757	-103335.5485787614	294.37222615596966	498369.26911243435	0.8986527612503645
2500	4.999999999999671	-129469.02678050463	26355.851683205317	-103113.17509729932	293.606202713744	498369.26911243435	0.8986527612503645
2600	5.199999999999649	-129376.90498752997	26587.179462429227	-102789.72552510074	296.183211859816	498369.26911243435	0.8986527612503645
2700	5.399999999999627	-129379.03153789265	26671.959405381203	-102707.07213251144	297.1276669059141	498369.26911243435	0.8986527612503645
2800	5.599999999999605	-129350.42978767247	26660.529295155808	-102689.90049251667	297.00033460414613	498369.26911243435	0.8986527612503645
2900	5.799999999999583	-129096.10963874919	26628.513879809678	-102467.5957589395	296.64368042954135	498369.26911243435	0.8986527612503645
3000	5.999999999999561	-129199.87570082351	26762.606712899247	-102437.26898792427	298.1374848418512	498369.26911243435	0.8986527612503645
3100	6.199999999999539	-128903.43313514204	26397.2775665507	-102506.15556859135	294.06769022131147	498369.26911243435	0.8986527612503645
3200	6.399999999999517	-129268.14531891969	26782.426092116777	-102485.7192268029	298.3582742415696	498369.26911243435	0.8986527612503645
3300	6.599999999999495	-129122.52469794147	26865.20874851278	-102257.31594942868	299.2804793627373	498369.26911243435	0.8986527612503645
3400	6.799999999999473	-128903.70340738288	26622.907018604903	-102280.79638877798	296.5812195670633	498369.26911243435	0.8986527612503645
3500	6.999999999999451	-128874.65142516818	26642.003684527514	-102232.64774064066	296.79395788542325	498369.26911243435	0.8986527612503645
3600	7.199999999999429	-128874.82723549393	26478.956069044576	-102395.87116644935	294.97759498359443	498369.26911243435	0.8986527612503645
3700	7.399999999999407	-129077.05197578948	26597.803176096484	-102479.248799693	296.3015608422755	498369.26911243435	0.8986527612503645
3800	7.599999999999385	-129092.17010438864	26702.512180710833	-102389.65792367782	297.46802715891306	498369.26911243435	0.8986527612503645
3900	7.799999999999363	-128948.13979650517	26521.387149993057	-102426.7526465121	295.45028046931003	498369.26911243435	0.8986527612503645
4000	7.999999999999341	-129149.37997855662	26813.14507796307	-102336.23490059355	298.70048609243133	498369.26911243435	0.8986527612503645
4100	8.199999999999408	-128958.14951285154	26592.963911817296	-102365.18560103423	296.2476510682329	498369.26911243435	0.8986527612503645
4200	8.399999999999475	-129028.04256073332	26959.631843689283	-102068.41071704403	300.3323598618568	498369.26911243435	0.8986527612503645
4300	8.599999999999541	-128931.90529544362	26810.70214123874	-102121.2031542049	298.67327159055446	498369.26911243435	0.8986527612503645
4400	8.799999999999608	-128937.26898924768	26885.65547676348	-102051.6135124842	299.5082574786474	498369.26911243435	0.8986527612503645
4500	8.999999999999675	-128856.57917404098	26800.94344129656	-102055.63573274443	298.5645589271245	498369.26911243435	0.8986527612503645
4600	9.199999999999742	-128905.55601001403	26934.32559149488	-101971.23041851915	300.0504462776925	498369.26911243435	0.8986527612503645
4700	9.399999999999809	-128794.13603516537	26729.231619773644	-102064.90441539172	297.76568375283273	498369.26911243435	0.8986527612503645
4800	9.599999999999875	-128804.90937606871	26996.953003741226	-101807.95637232748	300.7481204381203	498369.26911243435	0.8986527612503645
4900	9.799999999999942	-128683.41530427731	26909.210284916764	-101774.20501936055	299.77065984229193	498369.26911243435	0.8986527612503645
5000	10.000000000000009	-128657.30533840795	27014.71160005581	-101642.59373835214	300.94595255874844	498369.26911243435	0.8986527612503645
5100	10.200000000000076	-128503.14921232767	26961.591646756126	-101541.55756557155	300.3541922178527	498369.26911243435	0.8986527612503645
5200	10.400000000000142	-128526.75501618024	27082.464739789637	-101444.2902763906	301.70072771525986	498369.26911243435	0.8986527612503645
5300	10.60000000000021	-128262.28836718207	26969.01494275126	-101293.27342443081	300.4368883027658	498369.26911243435	0.8986527612503645
5400	10.800000000000276	-128522.44155932227	27240.135353940568	-101282.3062053817	303.45719041116655	498369.26911243435	0.8986527612503645
5500	11.000000000000343	-128446.1476705855	27197.535424642592	-101248.6122459429	302.98262394192875	498369.26911243435	0.8986527612503645
5600	11.20000000000041	-128452.0846171764	27087.816038509864	-101364.26857866652	301.7603415921218	498369.26911243435	0.8986527612503645
5700	11.400000000000476	-128298.32539200626	27009.91794704562	-101288.40744496063	300.8925508977296	498369.26911243435	0.8986527612503645
5800	11.600000000000543	-128615.81546193833	27153.116988080288	-101462.69847385804	302.4877991627376	498369.26911243435	0.8986527612503645
5900	11.80000000000061	-128601.18713437482	27187.8706647659	-101413.31646960892	302.8749577780103	498369.26911243435	0.8986527612503645
6000	12.000000000000677	-128429.16763964387	27023.52922374592	-101405.63841589795	301.04418156078304	498369.26911243435	0.8986527612503645
6100	12.200000000000744	-128486.05882044426	27070.069109488417	-101415.98971095584	301.5626394460311	498369.26911243435	0.8986527612503645
6200	12.40000000000081	-128378.3225239587	26915.899039050255	-101462.42348490845	299.845173074709	498369.26911243435	0.8986527612503645
6300	12.600000000000877	-128607.5374822538	26991.57973901865	-101615.95774323515	300.6882618583129	498369.26911243435	0.8986527612503645
6400	12.800000000000944	-128572.39949551654	27000.533467428453	-101571.86602808807	300.7880070773303	498369.26911243435	0.8986527612503645
6500	13.00000000000101	-128558.73633693502	27059.840596487895	-101498.89574044713	301.44869302921296	498369.26911243435	0.8986527612503645
6600	13.200000000001078	-128652.37094527915	27081.39231494367	-101570.97863033548	301.68878082048656	498369.26911243435	0.8986527612503645
6700	13.400000000001144	-128555.30614645255	26980.47809604741	-101574.82805040515	300.5645887068682	498369.26911243435	0.8986527612503645
6800	13.600000000001211	-128600.39965671241	26934.89686875607	-101665.50278795634	300.0568103500576	498369.26911243435	0.8986527612503645
6900	13.800000000001278	-128644.3680623266	26873.274827907826	-101771.09323441876	299.3703361038676	498369.26911243435	0.8986527612503645
7000	14.000000000001345	-128759.6139991599	26931.50042098941	-101828.1135781705	300.0189736622711	498369.26911243435	0.8986527612503645
7100	14.200000000001411	-128769.08180011096	26928.400010061454	-101840.68179004951	299.98443484750044	498369.26911243435	0.8986527612503645
7200	14.400000000001478	-128853.43428275856	26798.09768851216	-102055.3365942464	298.5328570235422	498369.26911243435	0.8986527612503645
7300	14.600000000001545	-128812.74734833221	26958.854241942652	-101853.89310638956	300.32369731895	498369.26911243435	0.8986527612503645
7400	14.800000000001612	-128671.97723871222	26802.236613956997	-101869.74062475523	298.5789649694276	498369.26911243435	0.8986527612503645
7500	15.000000000001679	-128944.80665730393	26816.45003060037	-102128.35662670356	298.73730351748173	498369.26911243435	0.8986527612503645
7600	15.200000000001745	-129023.41653546975	26854.056946624823	-102169.35958884492	299.1562474371256	498369.26911243435	0.8986527612503645
7700	15.400000000001812	-129061.6872365221	26936.89816162765	-102124.78907489446	300.07910490565024	498369.26911243435	0.8986527612503645
7800	15.600000000001879	-128926.84174363587	26798.934047867377	-102127.9076957685	298.5421741307008	498369.26911243435	0.8986527612503645
7900	15.800000000001946	-129062.18075315778	26988.93051662163	-102073.25023653614	300.6587493182712	498369.26911243435	0.8986527612503645
8000	16.00000000000201	-128816.1072836662	26882.50140530691	-101933.60587835929	299.47312088148556	498369.26911243435	0.8986527612503645
8100	16.2000000000019	-128733.97078294269	26860.823196257585	-101873.14758668511	299.2316239753293	498369.26911243435	0.8986527612503645
8200	16.40000000000179	-128787.10374641624	26978.11382571226	-101808.98992070399	300.53825055458094	498369.26911243435	0.8986527612503645
8300	16.60000000000168	-128648.62344996784	26872.84955194984	-101775.773898018	299.36559849718236	498369.26911243435	0.8986527612503645
8400	16.800000000001567	-129075.23575407107	27035.635764616756	-102039.5999894543	301.17904935165586	498369.26911243435	0.8986527612503645
8500	17.000000000001457	-128921.30157853971	26792.999989468357	-102128.30158907134	298.476068266464	498369.26911243435	0.8986527612503645
8600	17.200000000001346	-129122.75241554972	26924.08377385147	-102198.66864169826	299.9363516461355	498369.26911243435	0.8986527612503645
8700	17.400000000001235	-129197.2228050433	27099.324777223013	-102097.8980278203	301.8885498212547	498369.26911243435	0.8986527612503645
8800	17.600000000001124	-129091.96464814415	26920.305303781137	-102171.65934436301	299.8942592006796	498369.26911243435	0.8986527612503645
8900	17.800000000001013	-128913.56903189082	26808.52243751842	-102105.0465943724	298.6489895244669	498369.26911243435	0.8986527612503645
9000	18.000000000000902	-128883.17781455598	26814.769564213177	-102068.4082503428	298.71858299345314	498369.26911243435	0.8986527612503645
9100	18.20000000000079	-128939.7206021369	26861.529022657855	-102078.19157947904	299.2394869353903	498369.26911243435	0.8986527612503645
