#"Step"	"Time (ps)"	"Potential Energy (kilocalorie/mole)"	"Kinetic Energy (kilocalorie/mole)"	"Total Energy (kilocalorie/mole)"	"Temperature (K)"	"Box Volume (angstrom**3)"	"Density (gram/(item*milliliter))"
6700	13.400000000001144	-130883.63260237967	26966.786645623564	-103916.84595675611	300.3418959638651	498411.9554592178	0.8987791000250346
6800	13.600000000001211	-130975.53030792461	27068.9707213802	-103906.5595865444	301.4799684918741	498411.9554592178	0.8987791000250346
6900	13.800000000001278	-130725.23155075443	26885.356220887727	-103839.8753298667	299.4349666928438	498411.9554592178	0.8987791000250346
7000	14.000000000001345	-130812.52839587872	26833.27538267345	-103979.25301320526	298.8549176904091	498411.9554592178	0.8987791000250346
7100	14.200000000001411	-130933.70430410051	27112.24594221478	-103821.45836188573	301.96194515615053	498411.9554592178	0.8987791000250346
7200	14.400000000001478	-130803.44617790548	27070.55588522388	-103732.89029268161	301.4976232136057	498411.9554592178	0.8987791000250346
7300	14.600000000001545	-130937.28939014259	27049.12977710985	-103888.15961303272	301.258990482956	498411.9554592178	0.8987791000250346
7400	14.800000000001612	-130944.69856796284	26914.832792172954	-104029.86577578989	299.7632612509852	498411.9554592178	0.8987791000250346
7500	15.000000000001679	-130999.55038440644	26953.06447371201	-104046.48591069444	300.1890656254634	498411.9554592178	0.8987791000250346
7600	15.200000000001745	-130916.1373824944	27029.836879852053	-103886.30050264235	301.04411633361104	498411.9554592178	0.8987791000250346
7700	15.400000000001812	-130789.52409377547	26912.655622454546	-103876.86847132092	299.7390130789781	498411.9554592178	0.8987791000250346
7800	15.600000000001879	-130778.23107274296	26738.17159860156	-104040.05947414141	297.79570172979606	498411.9554592178	0.8987791000250346
7900	15.800000000001946	-130956.17084329746	27008.455740899746	-103947.7151023977	300.8059844458489	498411.9554592178	0.8987791000250346
8000	16.00000000000201	-130900.84101538158	26982.481453194676	-103918.3595621869	300.5166964814292	498411.9554592178	0.8987791000250346
8100	16.2000000000019	-130788.38881652881	26773.881500737774	-104014.50731579102	298.1934198507282	498411.9554592178	0.8987791000250346
8200	16.40000000000179	-131019.86587197814	27048.456162030085	-103971.40970994806	301.2514881122484	498411.9554592178	0.8987791000250346
8300	16.60000000000168	-130863.49636911007	26747.922487992655	-104115.57388111742	297.904302010784	498411.9554592178	0.8987791000250346
8400	16.800000000001567	-130891.16128306801	26889.91449411057	-104001.24678895743	299.4857343441795	498411.9554592178	0.8987791000250346
8500	17.000000000001457	-131027.33480123244	26790.8878416186	-104236.44695961384	298.38282753695637	498411.9554592178	0.8987791000250346
8600	17.200000000001346	-131230.37017408138	26996.816433690758	-104233.55374039063	300.67635195975436	498411.9554592178	0.8987791000250346
8700	17.400000000001235	-131071.84961958809	26932.66342792868	-104139.1861916594	299.961849500282	498411.9554592178	0.8987791000250346
8800	17.600000000001124	-130966.6870956875	26837.915498343988	-104128.77159734353	298.90659685991096	498411.9554592178	0.8987791000250346
8900	17.800000000001013	-131053.74493507565	26756.136937808114	-104297.60799726755	297.99579023532834	498411.9554592178	0.8987791000250346
9000	18.000000000000902	-131124.6698872745	26746.864700016573	-104377.80518725794	297.89252092427785	498411.9554592178	0.8987791000250346
9100	18.20000000000079	-131251.64168459765	26901.474905862844	-104350.1667787348	299.61448813414444	498411.9554592178	0.8987791000250346
9200	18.40000000000068	-131296.39550868943	27036.035604445042	-104260.35990424438	301.11315447008917	498411.9554592178	0.8987791000250346
9300	18.60000000000057	-131142.59531748484	26937.099662274257	-104205.49565521057	300.0112579467462	498411.9554592178	0.8987791000250346
9400	18.80000000000046	-130858.41749721715	26705.910601357657	-104152.5068958595	297.4363956988163	498411.9554592178	0.8987791000250346
9500	19.000000000000348	-130991.42418937777	26956.40791995848	-104035.01626941928	300.2263031724472	498411.9554592178	0.8987791000250346
9600	19.200000000000237	-131171.6942658596	26959.505862749076	-104212.18840311051	300.2608064309756	498411.9554592178	0.8987791000250346
9700	19.400000000000126	-130963.81902685386	26859.737288985674	-104104.08173786818	299.1496364945837	498411.9554592178	0.8987791000250346
9800	19.600000000000016	-130959.87543220758	26912.025401515464	-104047.85003069212	299.7319940094016	498411.9554592178	0.8987791000250346
9900	19.799999999999905	-131028.35057561102	27015.928010989766	-104012.42256462127	300.8892066626997	498411.9554592178	0.8987791000250346
10000	19.999999999999794	-130820.77409377547	26838.649552465984	-103982.12454130947	298.91477236890427	498411.9554592178	0.8987791000250346
10100	20.199999999999683	-130704.91606318273	26873.373387841864	-103831.54267534087	299.3015081965347	498411.9554592178	0.8987791000250346
10200	20.399999999999572	-130851.18757369899	27049.300533575723	-103801.88704012327	301.26089227872353	498411.9554592178	0.8987791000250346
10300	20.59999999999946	-130790.00210524774	27021.694649564342	-103768.3074556834	300.9534324522083	498411.9554592178	0.8987791000250346
10400	20.79999999999935	-130905.02361576399	27065.18675060105	-103839.83686516294	301.43782461418425	498411.9554592178	0.8987791000250346
10500	20.99999999999924	-131009.94713392844	26887.009547257905	-104122.93758667052	299.4533805729694	498411.9554592178	0.8987791000250346
